name,categories,address,lat,lng,price,likes,photos,tips,rating,cuisine_similarity,budget_match,rating_match,like_probability
شاهي ابو جراح,tea room  café  food truck,"Al Qubba street (Ahmed Bin Qasim street), الرياض 13225, المملكة العربية السعودية",24.793375,46.774973,Moderate,1.0,3,3,,0.0,0,0,0.16572613385048973
Ray & Daniel's (ري اند دانيلز),burger joint  fast food restaurant  sandwich place,"Imam Abdullah Bin Saud Rd., الرياض, المملكة العربية السعودية",24.793925920686284,46.77462723873301,Cheap,47.0,20,29,7.9,0.0,1,1,0.7809091203153626
Mashrab Coffee (مشرب كافيه),coffee shop,"3121 Imam Abdullah Bin Saud Bin Abdulaziz Road, الرياض 13225, المملكة العربية السعودية",24.795748479800267,46.77715886765022,Cheap,32.0,78,13,7.1,1.0,1,1,0.9641336273406055
مَشرب|Mashrab Coffee,coffee shop,"Riyadh (Imam Abdullah Ibn Saud), الرياض 13225, المملكة العربية السعودية",24.795416,46.7773,Cheap,1.0,1,1,,1.0,1,0,0.9003158999383325
Cazar Shawarma,shawarma place,المملكة العربية السعودية,24.794386,46.774424,Unknown,2.0,1,1,,0.0,0,0,0.16572613385048973
شاورما كزار,middle eastern restaurant,المملكة العربية السعودية,24.794242809280625,46.77464908385155,Moderate,25.0,6,6,6.1,0.0,0,0,0.16572613385048973
چباتي لاب,restaurant,"Alquba Street, الرياض 13225, المملكة العربية السعودية",24.793879,46.77473,Moderate,0.0,0,0,,0.0,0,0,0.16572613385048973
فوّال وشعبيات هبوب الطائف,middle eastern restaurant  breakfast spot  falafel restaurant,"الرياض, المملكة العربية السعودية",24.797020499677497,46.779319304966144,Moderate,10.0,38,5,5.4,0.0,0,0,0.16572613385048973
Dana Cafe,coffee shop,المملكة العربية السعودية,24.79622644893599,46.7787185048005,Cheap,2.0,1,0,,1.0,1,0,0.9003158999383325
مطعم أنوار دمشق,middle eastern restaurant,المملكة العربية السعودية,24.796778,46.778812,Moderate,0.0,0,1,,0.0,0,0,0.16572613385048973
Al Saaj Al Reefi (الصاج الريفي),bistro,المملكة العربية السعودية,24.794562,46.773754,Unknown,2.0,13,1,,0.0,0,0,0.16572613385048973
Back Yard,coffee shop,"الرياض, المملكة العربية السعودية",24.794943,46.775461,Cheap,0.0,0,0,,1.0,1,0,0.9003158999383325
بيت الفطيرة اادمشقية,fast food restaurant,المملكة العربية السعودية,24.79370057989932,46.775699005521886,Cheap,1.0,3,0,,0.0,1,0,0.5449488073458703
مطاعم ركن البحر,seafood restaurant,المملكة العربية السعودية,24.795148,46.773828,Expensive,0.0,3,1,,0.0,0,0,0.16572613385048973
ناريز,coffee shop,المملكة العربية السعودية,24.79243473051577,46.774399589837046,Cheap,2.0,2,1,,1.0,1,0,0.9003158999383325
ARYAF (أرياف),bakery  dessert shop,"الرياض 13225, المملكة العربية السعودية",24.796708,46.779889,Cheap,11.0,1,0,7.6,0.2359858342631327,1,1,0.8516715060224238
كيك و كافي,lounge  coffee shop,"3534 شارع علي بن رومي (طريق الامام عبد الله بن سعود بن عبد العزيز), الرياض 13243, المملكة العربية السعودية",24.794313,46.773053,Expensive,0.0,7,0,,0.48060937664110187,0,0,0.34407783447106854
مطاعم شواية الكباب,middle eastern restaurant,"حي إشبيليا (طريق الإمام عبدالله بن سعود), الرياض, المملكة العربية السعودية",24.794944718815277,46.77571318115099,Moderate,1.0,0,0,,0.0,0,0,0.16572613385048973
صاج شهي,fast food restaurant,"اشبيليا- مخرج ٩ - شارع القبه, الرياض 13225, المملكة العربية السعودية",24.793984,46.774588,Cheap,0.0,3,0,,0.0,1,0,0.5449488073458703
مخملية القهوة - نسائي,café,"حي اشبيليا (شارع القبة - عالية سنتر), الرياض 13225, المملكة العربية السعودية",24.793864000000006,46.774743,Cheap,5.0,14,12,,0.0,1,0,0.5449488073458703
HN Coffee,coffee shop,"طريق الصحابة, الرياض 13226, المملكة العربية السعودية",24.793747,46.787113,Cheap,38.0,424,15,7.6,1.0,1,1,0.9641336273406055
مطعم ديوان عثمانية,pakistani restaurant,المملكة العربية السعودية,24.797034,46.785181,Unknown,5.0,0,0,,0.0,0,0,0.16572613385048973
Zaatar W Zeit (زعتر وزيت),middle eastern restaurant,المملكة العربية السعودية,24.796360856111693,46.78475332150649,Moderate,6.0,7,0,,0.0,0,0,0.16572613385048973
aura Sweets,pastry shop  coffee shop,"الرياض, المملكة العربية السعودية",24.793843770713305,46.78726483278231,Unknown,9.0,42,6,5.9,0.6536212310639826,0,0,0.4266307292715844
أتش أن كافية,café,"الرياض (طريق الصحابة), الرياض 13226, المملكة العربية السعودية",24.793855,46.787125,Cheap,4.0,22,2,,0.0,1,0,0.5449488073458703
مطعم ركن العثمانيه,indian restaurant,المملكة العربية السعودية,24.794008,46.78642,Moderate,1.0,0,0,,0.0,0,0,0.16572613385048973
أسواق ومخابز أرض الأحمدية,supermarket  bakery,"شارع بحر العرب, الرياض 13226, المملكة العربية السعودية",24.794621,46.799254,Unknown,4.0,3,0,,0.0,0,0,0.16572613385048973
قدوع و دلة,café,"شارع بحر العرب, المملكة العربية السعودية",24.79301665859432,46.80026191608971,Cheap,13.0,14,4,7.4,0.0,1,1,0.7809091203153626
القمة الاسلامية الامريكية,american restaurant,"الرياض 13226, المملكة العربية السعودية",24.792858,46.799951,Moderate,0.0,1,0,,0.0,0,0,0.16572613385048973
